,title,description
0,"
First team out of regionals, Washington State plays on at college golf’s NIT
","The second annual National Golf Invitational begins Friday in Maricopa, Arizona."
1,"
The 30 teams, six individuals competing in NCAA Division I Men’s Golf Championship
","The 2024 championship will be held at Omni La Costa in Carlsbad, California."
2,"
Jon Rahm nearly shoots self out of PGA – and then he doesn’t
",Rahm stormed back Thursday at Valhalla to salvage a 1-under 70.
3,"
Alternates take advantage of Mizuho Americas withdrawals, including Rose Zhang’s
",Players who got into the field at the last minute Thursday took advantage of their opportunities.
4,"
Unlucky 7 to close derails Phil Mickelson’s opening round at PGA
",Mickelson doubled Valhalla’s last hole to shoot 3-over 74 in his opening round Thursday at the PGA Championship.
5,"
163 of 257 draft picks have signed contracts
",Rookie deals keep getting done quickly.
6,"
New Sunday network assignments shift 49 games between CBS and Fox
","Last year, the NFL tore down the traditional formula that sent daytime games to CBS or Fox. "
7,"
Cameron Heyward on offseason program absence: It’s just contract negotiations
","Cameron Heyward is entering his 14th season, and for the first time, he is not participating in the Steelers’ voluntary offseason program. "
8,"
Community benefits side agreement could be issue for Jaguars stadium renovation
",The $1.4 billion deal to renovate the Jaguars’ home stadium comes with a side deal. 
9,"
NBA Best Bets for Game 6: Nuggets vs Timberwolves
",Vaughn Dalzell breaks down how to bet on the Nuggets at Timberwolves Game 6 matchup.
10,"
Cameron Heyward on offseason program absence: It’s just contract negotiations
","Cameron Heyward is entering his 14th season, and for the first time, he is not participating in the Steelers’ voluntary offseason program. "
11,"
Community benefits side agreement could be issue for Jaguars stadium renovation
",The $1.4 billion deal to renovate the Jaguars’ home stadium comes with a side deal. 
12,"
Bears sign fifth-round DE Austin Booker
","The Bears signed fifth-round defensive end Austin Booker, the team announced Thursday. "
13,"
NBA Best Bets for Game 6: Nuggets vs Timberwolves
",Vaughn Dalzell breaks down how to bet on the Nuggets at Timberwolves Game 6 matchup.
14,"
Bengals are biggest favorites of Week 1 with 8.5-point line over Patriots
",The Bengals are the team with the best odds to start the season 1-0. 
15,"
Bengals are biggest favorites of Week 1 with 8.5-point line over Patriots
",The Bengals are the team with the best odds to start the season 1-0. 
16,"
PGA Championship: What contenders are saying after their first rounds
","The best quote from Xander Schauffele, Brooks Koepka and more from Thursday at Valhalla."
17,"
Premier League Table — PL 2023-24 Standings
",Will Manchester City complete its quest for an unprecedented fourth-straight title?
18,"
Premier League Injury News Tracker - 2023-24 Club by Club Updates
","Whose injury status is up in the air, and who’s hoping to be fit in time for this matchweek?"
19,"
Championship playoff schedule for 2023-24 season, how to watch live, bracket
","The bracket for the 2023-24 Championship playoffs is set, with Leeds waiting to find out who they’ll play for the final promotion spot to the Premier League."
20,"
Sahith Theegala ‘couldn’t really breathe’ after this recent freak injury
",Theegala overcame a slipped rib two weekends ago to shoot 6-under 65 Thursday at the PGA Championship.
